"";"button_action";"variant";"orig.id"
"38215";"no_click";"Variant 1";"38215"
"32153";"no_click";"Variant 1";"32153"
"66641";"click";"Variant 2";"66641"
"84363";"no_click";"Variant 2";"84363"
"20779";"no_click";"Variant 1";"20779"
"78144";"no_click";"Variant 2";"78144"
"15563";"no_click";"Variant 1";"15563"
"48317";"no_click";"Variant 2";"48317"
"22931";"no_click";"Variant 1";"22931"
"58506";"no_click";"Variant 2";"58506"
"67301";"no_click";"Variant 2";"67301"
"65104";"no_click";"Variant 2";"65104"
"53630";"no_click";"Variant 2";"53630"
"61930";"no_click";"Variant 2";"61930"
"22713";"no_click";"Variant 1";"22713"
"16113";"no_click";"Variant 1";"16113"
"41288";"no_click";"Variant 1";"41288"
"66343";"no_click";"Variant 2";"66343"
"61358";"no_click";"Variant 2";"61358"
"10187";"click";"Variant 1";"10187"
"26829";"no_click";"Variant 1";"26829"
"71862";"no_click";"Variant 2";"71862"
"72941";"no_click";"Variant 2";"72941"
"13505";"no_click";"Variant 1";"13505"
"61420";"no_click";"Variant 2";"61420"
"55323";"no_click";"Variant 2";"55323"
"44803";"no_click";"Variant 2";"44803"
"78860";"no_click";"Variant 2";"78860"
"11414";"no_click";"Variant 1";"11414"
"61204";"no_click";"Variant 2";"61204"
"37999";"no_click";"Variant 1";"37999"
"10888";"no_click";"Variant 1";"10888"
"3243";"click";"Variant 1";"3243"
"39071";"no_click";"Variant 1";"39071"
"50422";"no_click";"Variant 2";"50422"
"31817";"no_click";"Variant 1";"31817"
"20293";"no_click";"Variant 1";"20293"
"57829";"no_click";"Variant 2";"57829"
"73519";"no_click";"Variant 2";"73519"
"39221";"no_click";"Variant 1";"39221"
"23698";"click";"Variant 1";"23698"
"26474";"click";"Variant 1";"26474"
"50578";"no_click";"Variant 2";"50578"
"56748";"no_click";"Variant 2";"56748"
"77388";"no_click";"Variant 2";"77388"
"10378";"no_click";"Variant 1";"10378"
"79469";"no_click";"Variant 2";"79469"
"65522";"no_click";"Variant 2";"65522"
"71965";"no_click";"Variant 2";"71965"
"35105";"no_click";"Variant 1";"35105"
"67345";"no_click";"Variant 2";"67345"
"12522";"click";"Variant 1";"12522"
"40468";"no_click";"Variant 1";"40468"
"15303";"no_click";"Variant 1";"15303"
"69705";"no_click";"Variant 2";"69705"
"5867";"no_click";"Variant 1";"5867"
"80991";"no_click";"Variant 2";"80991"
"77469";"no_click";"Variant 2";"77469"
"60168";"no_click";"Variant 2";"60168"
"38078";"no_click";"Variant 1";"38078"
"2790";"no_click";"Variant 1";"2790"
"23047";"no_click";"Variant 1";"23047"
