"";"button_action";"variant";"orig.id"
"1";2;"Variant 2";"55903"
"2";2;"Variant 2";"66864"
"3";2;"Variant 1";"17495"
"4";2;"Variant 1";"12623"
"5";2;"Variant 1";"40621"
"6";2;"Variant 1";"10345"
"7";2;"Variant 1";"39839"
"8";2;"Variant 1";"29972"
"9";2;"Variant 2";"56217"
"10";2;"Variant 1";"37929"
"11";2;"Variant 2";"64939"
"12";2;"Variant 1";"42619"
"13";2;"Variant 2";"49562"
"14";2;"Variant 2";"52878"
"15";2;"Variant 1";"42147"
"16";2;"Variant 2";"54566"
"17";2;"Variant 2";"83205"
"18";2;"Variant 1";"19235"
"19";2;"Variant 1";"28021"
"20";2;"Variant 1";"27723"
"21";2;"Variant 2";"67204"
"22";2;"Variant 1";"42711"
"23";2;"Variant 1";"14748"
"24";2;"Variant 2";"60605"
"25";2;"Variant 2";"70815"
"26";2;"Variant 1";"11079"
"27";2;"Variant 1";"15374"
"28";2;"Variant 2";"52542"
"29";2;"Variant 1";"28652"
"30";2;"Variant 2";"44741"
"31";2;"Variant 1";"21735"
"32";2;"Variant 2";"48984"
"33";2;"Variant 2";"55763"
"34";2;"Variant 1";"2691"
"35";1;"Variant 1";"4428"
"36";2;"Variant 2";"56121"
"37";2;"Variant 2";"48836"
"38";2;"Variant 2";"66807"
"39";2;"Variant 2";"70949"
"40";1;"Variant 1";"3154"
"41";2;"Variant 2";"65852"
"42";2;"Variant 2";"46353"
"43";2;"Variant 2";"54600"
"44";2;"Variant 2";"62399"
"45";2;"Variant 2";"56218"
"46";2;"Variant 2";"58744"
"47";2;"Variant 1";"17298"
"48";2;"Variant 1";"40888"
"49";1;"Variant 1";"14435"
"50";2;"Variant 2";"62461"
"51";1;"Variant 2";"56881"
"52";2;"Variant 1";"31831"
"53";2;"Variant 1";"17755"
"54";2;"Variant 1";"35152"
"55";2;"Variant 2";"70556"
"56";2;"Variant 2";"76228"
"57";2;"Variant 1";"20515"
"58";2;"Variant 2";"51396"
"59";2;"Variant 1";"38651"
"60";2;"Variant 1";"750"
"61";2;"Variant 2";"74656"
"62";2;"Variant 2";"74361"
"63";2;"Variant 2";"47536"
"64";2;"Variant 1";"34661"
"65";2;"Variant 1";"2361"
"66";2;"Variant 1";"34173"
"67";2;"Variant 1";"2560"
"68";2;"Variant 1";"42177"
"69";2;"Variant 2";"72950"
"70";2;"Variant 2";"74566"
"71";2;"Variant 2";"67551"
"72";2;"Variant 1";"24396"
"73";2;"Variant 2";"48472"
"74";2;"Variant 1";"28736"
"75";2;"Variant 2";"59976"
"76";2;"Variant 1";"12784"
"77";2;"Variant 1";"9876"
"78";2;"Variant 1";"25243"
"79";2;"Variant 1";"14361"
"80";2;"Variant 1";"41384"
"81";2;"Variant 1";"34137"
"82";1;"Variant 2";"56546"
"83";2;"Variant 1";"35401"
"84";2;"Variant 2";"76889"
"85";2;"Variant 2";"46928"
"86";2;"Variant 2";"52590"
"87";1;"Variant 2";"46472"
"88";2;"Variant 1";"33404"
"89";2;"Variant 1";"39439"
"90";2;"Variant 2";"73459"
"91";2;"Variant 1";"13721"
"92";2;"Variant 2";"51972"
"93";2;"Variant 2";"84543"
"94";2;"Variant 1";"27780"
"95";2;"Variant 2";"56342"
"96";2;"Variant 1";"23370"
"97";2;"Variant 2";"71602"
"98";2;"Variant 2";"74283"
"99";2;"Variant 2";"49459"
"100";2;"Variant 1";"27676"
"101";2;"Variant 2";"52680"
"102";2;"Variant 1";"36351"
"103";2;"Variant 1";"33490"
"104";2;"Variant 1";"16917"
"105";2;"Variant 1";"27927"
"106";2;"Variant 2";"83112"
"107";2;"Variant 1";"20448"
"108";2;"Variant 2";"78494"
"109";2;"Variant 1";"41676"
"110";2;"Variant 2";"66599"
"111";2;"Variant 2";"54329"
"112";2;"Variant 1";"17722"
"113";2;"Variant 2";"43396"
"114";2;"Variant 2";"78161"
"115";2;"Variant 1";"41362"
"116";1;"Variant 1";"29949"
"117";2;"Variant 1";"39517"
"118";2;"Variant 2";"65272"
"119";2;"Variant 2";"69015"
"120";1;"Variant 2";"78110"
"121";2;"Variant 1";"35322"
"122";2;"Variant 1";"16485"
"123";2;"Variant 2";"58421"
"124";2;"Variant 1";"31900"
"125";2;"Variant 2";"51575"
"126";2;"Variant 2";"58926"
"127";2;"Variant 1";"26974"
